City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,praia da vitoria,38.7333,-27.0667,16.26,77,17,5.13,PT,1685067113
325,buon ma thuot,12.6667,108.05,29.76,57,16,1.14,VN,1685067113
326,faya-largeau,17.9257,19.1043,32.93,15,0,4.01,TD,1685067114
327,uturoa,-16.7333,-151.4333,27.63,75,32,4.45,PF,1685067114
328,talara,-4.5772,-81.2719,24.42,88,0,6.17,PE,1685067114
329,mancio lima,-7.6142,-72.8958,22.6,98,83,0.55,BR,1685067114
330,poso,-1.3959,120.7524,29.74,65,51,1.89,ID,1685067115
331,villa ojo de agua,-29.5,-63.6938,19.65,80,98,3.98,AR,1685067115
332,callao,-12.0667,-77.15,22.62,73,0,5.14,PE,1685066848
333,mili,6.0815,171.735,28.75,76,49,6.91,MH,1685067116
334,touros,-5.1989,-35.4608,25.9,84,98,5.56,BR,1685066826
335,zigong,29.3416,104.7769,22.3,72,100,0.9,CN,1685066876
336,arkadelphia,34.1209,-93.0538,24.54,83,100,0.0,US,1685067117
337,parun,35.4207,70.9221,6.67,53,3,3.46,AF,1685067117
338,igarka,67.4667,86.5833,4.78,83,100,1.93,RU,1685067118
339,puerto baquerizo moreno,-0.9,-89.6,25.49,84,76,4.85,EC,1685066818
340,rongelap,11.1635,166.8941,28.01,78,100,8.85,MH,1685067118
341,turpan,42.9333,89.1667,27.71,19,99,2.16,CN,1685067118
342,lappeenranta,61.0587,28.1887,7.03,82,0,2.06,FI,1685067119
343,chiang mai,18.75,99.0,33.18,57,20,1.54,TH,1685066947
344,tomatlan,19.9333,-105.25,27.62,45,100,3.25,MX,1685066876
345,kismayo,-0.3582,42.5454,26.28,79,41,5.2,SO,1685067119
346,north bend,43.4065,-124.2243,21.8,94,75,11.32,US,1685067119
347,swift current,50.2834,-107.8014,13.45,94,100,8.23,CA,1685067119
348,san miguel,13.4833,-88.1833,25.37,94,94,0.61,SV,1685066908
349,la'ie,21.6477,-157.9253,28.98,75,44,1.79,US,1685067120
350,prudentopolis,-25.2131,-50.9778,12.62,94,0,0.51,BR,1685067120
351,clifton,40.8584,-74.1638,17.71,53,0,3.6,US,1685066836
352,novyye lapsary,56.0685,47.2142,18.84,55,20,4.0,RU,1685067120
353,morant bay,17.8815,-76.4093,26.03,83,3,1.76,JM,1685067121
354,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,51,75,4.0,RU,1685067121
355,vadso,70.0744,29.7487,7.09,57,46,5.66,NO,1685067122
356,broome,42.2506,-75.833,8.01,80,0,1.7,US,1685067122
357,debre werk',10.6667,38.1667,15.31,61,83,0.22,ET,1685067123
358,lospalos,-8.5186,127.0025,25.35,56,48,5.09,TL,1685067123
359,bada,51.392,109.8717,4.45,77,99,6.11,RU,1685067124
360,rosarito,32.3333,-117.0333,17.36,69,2,3.49,MX,1685067046
361,urengoy,65.9667,78.3667,7.93,74,100,4.49,RU,1685067105
362,ramhormoz,31.28,49.6035,30.38,29,0,1.77,IR,1685067126
